Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
1,2025-07-30 14:12:44,cs1,250.0,5.0,20.0,0.05,True,0.04,[[4.03634724]],0.8766068392931452,0.0029133376623047,50,10,0.01,1.0,1.0,0.8,,3.0,13.108861923217772,50.0,1.0,
2,2025-07-30 14:12:45,cs2,250.0,20.0,,,True,1.0,[[-0.95592471]],0.960110877796823,7.438363895971214e-06,50,10,0.01,,,,,,0.3049850463867187,,,
3,2025-07-30 14:12:46,cs3,250.0,5.0,20.0,0.05,True,0.0,[[38.76135435]],0.9857225772757678,0.002920150881708,50,10,0.01,,,,,,72.32465028762817,,,3.0
4,2025-07-30 14:13:58,cs4,,,,,True,1.0,[[42.3956521]],1.024053669383144,1.8515202748758943e-10,50,10,0.01,,,,,,0.461961030960083,,,
5,2025-07-30 14:14:04,cs5,250.0,5.0,20.0,0.05,True,0.06,[[3.8369756]],0.8771647466176137,0.0028261056677616,50,10,0.01,1.0,1.0,0.8,,3.0,5.68101692199707,,,
6,2025-07-30 14:14:18,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.51319277]],0.7393091913872878,0.0072256420996386,50,10,0.05,1.0,1.0,0.8,,3.0,14.092463970184326,50.0,1.0,
7,2025-07-30 14:14:20,cs2,250.0,20.0,,,True,0.82,[[-0.800138]],0.8026505876648298,1.1783377221332246e-11,50,10,0.05,,,,,,0.5868480205535889,,,
8,2025-07-30 14:14:21,cs3,250.0,5.0,20.0,0.05,True,0.0,[[159.99213943]],0.8696399535848849,0.0036054738862938,50,10,0.05,,,,,,60.40601992607117,,,3.0
9,2025-07-30 14:15:22,cs4,,,,,True,1.0,[[51.41793161]],0.9527932938540706,1.8747801991169626e-07,50,10,0.05,,,,,,0.5221102237701416,,,
10,2025-07-30 14:15:28,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.5131937]],0.7393077427458743,0.0072256672916961,50,10,0.05,1.0,1.0,0.8,,3.0,6.126861810684204,,,
11,2025-07-30 14:15:42,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.76569453]],0.7393099369521959,0.0072256291341205,50,10,0.1,1.0,1.0,0.8,,3.0,13.782940864562988,50.0,1.0,
12,2025-07-30 14:15:43,cs2,250.0,20.0,,,True,0.0,[[143.76569515]],0.7393077424043009,0.0072256673121323,50,10,0.1,,,,,,1.2779901027679443,,,
13,2025-07-30 14:15:45,cs3,250.0,5.0,20.0,0.05,True,0.0,[[331.14543976]],0.841249291245841,0.0045928863136123,50,10,0.1,,,,,,55.51178503036499,,,3.0
