Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Boundary Violation,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
1,7/24/25 17:35,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.6157706]],True,50,10,0.01,0.8,1.0,0.85,,3.0,10.855876922607422,10.0,1.0,
2,7/24/25 17:35,cs2,500.0,20.0,,,True,False,[[-1.04365913]],True,50,10,0.01,,,,,,0.621912956,,,
3,7/24/25 17:35,cs3,500.0,5.0,20.0,0.05,True,False,[[14.7395151]],True,50,10,0.01,,,,,,5.845935821533203,,,3.0
4,7/24/25 17:36,cs4,,,,,True,True,[[13.58945309]],True,50,10,0.01,,,,,,0.5451021194458008,,,
5,7/24/25 17:36,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.60740909]],True,50,10,0.01,0.8,1.0,0.85,,3.0,3.9806699752807617,,,
6,7/24/25 17:36,cs1,500.0,5.0,20.0,0.05,True,False,[[2.94535585]],True,50,10,0.1,0.8,1.0,0.85,,3.0,10.164922952651978,10.0,1.0,
7,7/24/25 17:36,cs2,500.0,20.0,,,True,False,[[-0.94843251]],True,50,10,0.1,,,,,,0.6290042400360107,,,
8,7/24/25 17:36,cs3,500.0,5.0,20.0,0.05,True,False,[[154.03584459]],True,50,10,0.1,,,,,,5.9406468868255615,,,3.0
9,7/24/25 17:36,cs4,,,,,True,True,[[68.43995295]],True,50,10,0.1,,,,,,0.4765388965606689,,,
10,7/24/25 17:36,cs5,500.0,5.0,20.0,0.05,True,False,[[3.29212122]],True,50,10,0.1,0.8,1.0,0.85,,3.0,3.6461589336395264,,,
11,7/24/25 17:36,cs1,500.0,5.0,20.0,0.05,True,False,[[1.02794576]],True,50,10,0.05,0.8,1.0,0.85,,3.0,9.725589990615845,10.0,1.0,
12,7/24/25 17:36,cs2,500.0,20.0,,,True,True,[[-0.37541997]],True,50,10,0.05,,,,,,0.4053740501403808,,,
13,7/24/25 17:36,cs3,500.0,5.0,20.0,0.05,True,False,[[76.6485099]],True,50,10,0.05,,,,,,5.556221247,,,3.0
14,7/24/25 17:36,cs4,,,,,True,True,[[53.03413618]],True,50,10,0.05,,,,,,0.4135689735412597,,,
15,7/24/25 17:36,cs5,500.0,5.0,20.0,0.05,True,False,[[1.07526965]],True,50,10,0.05,0.8,1.0,0.85,,3.0,3.4721710681915283,,,
16,7/24/25 17:37,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.51471587]],True,50,15,0.01,0.8,1.0,0.85,,3.0,10.63817286491394,10.0,1.0,
17,7/24/25 17:37,cs2,500.0,20.0,,,True,True,[[-1.04113419]],True,50,15,0.01,,,,,,0.5745558738708496,,,
18,7/24/25 17:37,cs3,500.0,5.0,20.0,0.05,True,False,[[14.76225442]],True,50,15,0.01,,,,,,9.192153215408323,,,3.0
19,7/24/25 17:37,cs4,,,,,True,True,[[5.26517841]],True,50,15,0.01,,,,,,0.6073458194732666,,,
20,7/24/25 17:37,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.57280414]],True,50,15,0.01,0.8,1.0,0.85,,3.0,4.584067106246948,,,
21,7/24/25 17:37,cs1,500.0,5.0,20.0,0.05,True,False,[[2.80795197]],True,50,15,0.1,0.8,1.0,0.85,,3.0,10.88433003425598,10.0,1.0,
22,7/24/25 17:37,cs2,500.0,20.0,,,True,True,[[16.29407271]],True,50,15,0.1,,,,,,0.500889778,,,
23,7/24/25 17:37,cs3,500.0,5.0,20.0,0.05,True,False,[[155.00279123]],True,50,15,0.1,,,,,,8.999959230422974,,,3.0
24,7/24/25 17:37,cs4,,,,,True,True,[[42.24007065]],True,50,15,0.1,,,,,,0.6051077842712402,,,
25,7/24/25 17:37,cs5,500.0,5.0,20.0,0.05,True,False,[[2.58095675]],True,50,15,0.1,0.8,1.0,0.85,,3.0,4.635061979293823,,,
26,7/24/25 17:38,cs1,500.0,5.0,20.0,0.05,True,False,[[0.91504315]],True,50,15,0.05,0.8,1.0,0.85,,3.0,10.897062301635742,10.0,1.0,
