Serial No.,Type,MpcHorizon,InputCost,setpoint,OptimizerSuccess,ClosedLoopCost,BoundaryViolation,Iterations,Time,Tightner,RandomSampling,ConfidenceCutoff,MaxSearch,LQR_r,LQR_q
1,cs2,20,0.01,,True,-22.203616157258537,True,50,0.6646671295166016,,,,,,
2,cs4,20,0.01,,True,-23.326292908030076,True,50,0.9715049266815186,,,,,,
3,cs1,20,0.01,,True,-23.08121278037756,False,50,339.74306201934814,1.0,7.0,0.8,10.0,10.0,1.0
4,cs2,20,0.01,,True,-21.75358123753579,True,50,0.6344809532165527,,,,,,
5,cs3,20,0.01,,False,36.69265488981976,True,50,195.70788764953613,,,,,,
6,cs4,20,0.01,,True,-23.326292908030076,True,50,1.0125818252563477,,,,,,
7,cs5,20,0.01,,False,-20.43031208945049,True,50,338.4098608493805,1.0,7.0,0.8,10.0,10.0,1.0
8,cs1,20,0.01,,True,-23.42302674344327,False,50,333.6752290725708,1.0,7.0,0.8,10.0,10.0,1.0
9,cs2,20,0.01,,True,-22.69484035033681,True,50,0.42863893508911133,,,,,,
10,cs3,20,0.01,,False,39.60368085736678,False,50,273.19549798965454,,,,,,
11,cs4,20,0.01,,True,-23.326292908030076,True,50,0.8751139640808105,,,,,,
12,cs5,20,0.01,,True,-23.455255560852528,False,50,322.87628626823425,1.0,7.0,0.8,10.0,10.0,1.0
