Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
1,2025-08-01 14:56:59,cs1,250.0,5.0,20.0,0.05,True,0.56,-0.92816689,0.9571668183604908,4.528960196770883e-06,50,10,0.01,1.0,7.0,0.9,,5.0,13.40796709060669,100.0,1.0,
2,2025-08-01 14:57:01,cs2,250.0,20.0,,,True,0.44,12.13641776,0.9812408571178878,3.086535241277476e-06,50,10,0.01,,,,,,0.961907148361206,,,
3,2025-08-01 14:57:02,cs3,250.0,5.0,20.0,0.05,True,0.0,211.25311763,0.8774749521283952,2.649567354677215e-10,50,10,0.01,,,,,,147.29475593566897,,,3.0
4,2025-08-01 14:59:29,cs4,,,,,True,1.0,42.3956521,1.024053669383144,1.8515202748758943e-10,50,10,0.01,,,,,,0.4783158302307129,,,
5,2025-08-01 14:59:36,cs5,250.0,5.0,20.0,0.05,True,0.56,-0.93768741,0.9578433639294064,2.854945718429971e-11,50,10,0.01,1.0,7.0,0.9,,5.0,6.1092188358306885,,,
6,2025-08-01 14:59:52,cs1,250.0,5.0,20.0,0.05,True,0.14,-1.31607099,1.3234230739118582,0.0067207912620323,50,10,0.05,1.0,7.0,0.9,,5.0,16.09657597541809,100.0,1.0,
7,2025-08-01 14:59:53,cs2,250.0,20.0,,,True,0.0,285.62683231,1.3139656594174367,0.008148652013873,50,10,0.05,,,,,,1.1466491222381592,,,
8,2025-08-01 14:59:55,cs3,250.0,5.0,20.0,0.05,True,0.0,381.63228462,1.130935840321969,0.0071140096652758,50,10,0.05,,,,,,162.53608584403992,,,3.0
9,2025-08-01 15:02:38,cs4,,,,,True,0.0,115.16143147,1.308000346369876,0.0077316237760642,50,10,0.05,,,,,,1.2317001819610596,,,
10,2025-08-01 15:02:46,cs5,250.0,5.0,20.0,0.05,True,0.14,-1.31611058,1.323460292792038,0.006720574017889,50,10,0.05,1.0,7.0,0.9,,5.0,6.852536201477051,,,
11,2025-08-01 15:03:01,cs1,250.0,5.0,20.0,0.05,True,0.14,-1.31602047,1.323451182521238,0.0067151510897801,50,10,0.1,1.0,7.0,0.9,,5.0,15.213088989257812,100.0,1.0,
12,2025-08-01 15:03:03,cs2,250.0,20.0,,,True,0.0,144.85232463,1.025574152647739,0.0296292191715693,50,10,0.1,,,,,,0.9296660423278807,,,
13,2025-08-01 15:03:04,cs3,250.0,5.0,20.0,0.05,True,0.0,258.40448659,1.2983761338917683,0.006685333508556,50,10,0.1,,,,,,173.62206315994263,,,3.0
14,2025-08-01 15:05:58,cs4,,,,,True,0.0,231.63148252,1.3080003459187994,0.0077316238325493,50,10,0.1,,,,,,1.2296671867370603,,,
15,2025-08-01 15:06:06,cs5,250.0,5.0,20.0,0.05,True,0.14,-1.3160643,1.3234882359220654,0.0067149330412262,50,10,0.1,1.0,7.0,0.9,,5.0,7.038003921508789,,,
16,2025-08-01 15:06:24,cs1,250.0,5.0,20.0,0.05,True,0.2,-1.2312891,1.2539750393491649,0.0071358383556955,50,15,0.01,1.0,7.0,0.9,,5.0,17.95421600341797,100.0,1.0,
