Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q
1,2025-07-30 13:09:51,cs1,500.0,5.0,20.0,0.05,True,0.76,[[-1.00241921]],1.0726332975161483,0.0028085532464922,50,20,0.01,1.2,7.0,0.8,,10.0,342.2243072986603,50.0,1.0
2,2025-07-30 13:12:59,cs2,500.0,20.0,,,True,0.32,[[-1.04009809]],1.0532564527604922,0.0076661440256238,50,20,0.01,,,,,,0.820979118347168,,
3,2025-07-30 13:13:05,cs3,500.0,5.0,20.0,0.05,True,0.98,[[14.82026408]],0.8821483298308251,5.01377446759438e-05,50,20,0.01,,,,,,36.39066100120544,,
4,2025-07-30 13:13:42,cs4,,,,,True,1.0,[[0.09036176]],1.0737829424702925,7.603309813624351e-09,50,20,0.01,,,,,,0.8640527725219727,,
5,2025-07-30 13:19:09,cs5,500.0,5.0,20.0,0.05,True,0.78,[[-1.01882588]],1.0639964551552377,0.0027585998778213,50,20,0.01,1.2,7.0,0.8,,10.0,326.2603099346161,,
6,2025-07-30 15:57:27,cs1,500.0,5.0,20.0,0.05,True,1.0,[[-0.4395981]],1.0561092934418503,0.0004745899484991,50,20,0.01,1.2,7.0,0.8,,10.0,431.7754669189453,50.0,1.0
7,2025-07-30 16:01:42,cs2,500.0,20.0,,,True,1.0,[[-1.03818436]],1.0497502163612362,0.0007443659054462,50,20,0.01,,,,,,0.6907961368560791,,
8,2025-07-30 16:01:50,cs3,500.0,5.0,20.0,0.05,True,0.96,[[3.71870254]],0.996165249833444,0.0,50,20,0.01,,,,,,232.2555832862854,,
9,2025-07-30 16:05:43,cs4,,,,,True,1.0,[[0.09036176]],1.0737829424702925,7.603309813624351e-09,50,20,0.01,,,,,,1.0651741027832031,,
10,2025-07-30 16:08:35,cs5,500.0,5.0,20.0,0.05,True,1.0,[[-0.48709452]],1.056011317204101,0.0005452334384412,50,20,0.01,1.2,7.0,0.8,,10.0,169.90875816345215,,
11,2025-07-30 16:48:29,cs1,500.0,5.0,20.0,0.05,True,1.0,[[-0.60093911]],1.0311739930088404,0.0,50,20,0.01,1.2,7.0,0.8,,10.0,218.59590196609497,50.0,1.0
12,2025-07-30 16:48:33,cs2,500.0,20.0,,,True,0.84,[[13.25492351]],1.0540067302487532,0.0010463034768382,50,20,0.01,,,,,,1.664504051208496,,
